"","country","Year","Industrial","Services","Agri"
"1","China","2000",45.5,39.8,14.7
"2","China","2001",44.8,41.2,14
"3","China","2002",44.5,42.2,13.3
"4","China","2003",45.6,42,12.3
"5","China","2004",45.9,41.2,12.9
"6","China","2005",47,41.3,11.6
"7","China","2006",47.6,41.8,10.6
"8","China","2007",46.9,42.9,10.2
"9","China","2008",47,42.9,10.2
"10","China","2009",46,44.4,9.64
"11","China","2010",46.5,44.2,9.33
"12","China","2011",46.5,44.3,9.18
"13","China","2012",45.4,45.5,9.11
"14","China","2013",44.2,46.9,8.94
"15","China","2014",43.1,48.3,8.64
"16","China","2015",40.8,50.8,8.39
"17","China","2016",39.6,52.4,8.06
"18","China","2017",39.9,52.7,7.46
"19","China","2018",39.7,53.3,7.04
"20","Germany","2000",27.7,61.5,0.995
"21","Germany","2001",27.1,62.2,1.08
"22","Germany","2002",26.4,63.1,0.9
"23","Germany","2003",26.2,63.3,0.832
"24","Germany","2004",26.4,63.2,0.951
"25","Germany","2005",26.4,63.4,0.727
"26","Germany","2006",27,62.7,0.738
"27","Germany","2007",27.2,61.9,0.779
"28","Germany","2008",26.8,62.2,0.838
"29","Germany","2009",24.7,64.2,0.695
"30","Germany","2010",26.8,62.3,0.804
"31","Germany","2011",27.1,61.8,0.91
"32","Germany","2012",27.3,61.7,0.848
"33","Germany","2013",26.8,62.2,0.943
"34","Germany","2014",27,62.1,0.905
"35","Germany","2015",27.1,62.2,0.685
"36","Germany","2016",27.6,61.8,0.698
"37","Germany","2017",27.5,61.7,0.826
"38","Germany","2018",27.4,62.1,0.665
"39","Japan","2000",32.8,65.9,1.54
"40","Japan","2001",31.3,66.9,1.38
"41","Japan","2002",30.5,68.1,1.39
"42","Japan","2003",30.4,68.4,1.31
"43","Japan","2004",30.3,68.5,1.24
"44","Japan","2005",30.2,69,1.13
"45","Japan","2006",30,69,1.09
"46","Japan","2007",29.9,69.1,1.06
"47","Japan","2008",29,69.8,1.06
"48","Japan","2009",27.3,71.5,1.08
"49","Japan","2010",28.4,70.2,1.1
"50","Japan","2011",26.9,71.5,1.08
"51","Japan","2012",26.7,71.6,1.14
"52","Japan","2013",26.9,71.3,1.1
"53","Japan","2014",27.7,70.5,1.06
"54","Japan","2015",29,69.3,1.11
"55","Japan","2016",29,69.4,1.21
"56","Japan","2017",29.2,69,1.21
"57","Japan","2018",29.1,69.3,1.24
"58","United Kingdom","2000",23.1,65.7,0.855
"59","United Kingdom","2001",22.1,67.1,0.787
"60","United Kingdom","2002",21.7,67.3,0.922
"61","United Kingdom","2003",21.1,68,0.879
"62","United Kingdom","2004",20.3,68.8,0.767
"63","United Kingdom","2005",20.3,69.2,0.551
"64","United Kingdom","2006",20.3,69.1,0.601
"65","United Kingdom","2007",19.8,69.7,0.567
"66","United Kingdom","2008",20,69.7,0.683
"67","United Kingdom","2009",18.9,71.4,0.688
"68","United Kingdom","2010",19,70.5,0.607
"69","United Kingdom","2011",18.7,69.8,0.697
"70","United Kingdom","2012",18.7,70,0.644
"71","United Kingdom","2013",18.9,69.7,0.645
"72","United Kingdom","2014",18.5,69.9,0.755
"73","United Kingdom","2015",18.4,70.1,0.647
"74","United Kingdom","2016",17.9,70.7,0.576
"75","United Kingdom","2017",18.2,70.4,0.574
"76","United Kingdom","2018",18.1,70.5,0.569
"77","United States","2000",22.5,72.8,1.15
"78","United States","2001",21.5,74,1.13
"79","United States","2002",20.6,74.9,0.97
"80","United States","2003",20.7,74.6,1.12
"81","United States","2004",21,74.2,1.26
"82","United States","2005",21.2,74,1.14
"83","United States","2006",21.6,73.7,1
"84","United States","2007",21.4,73.9,1.07
"85","United States","2008",20.9,74.5,1.07
"86","United States","2009",19.3,76.4,0.969
"87","United States","2010",19.4,76.2,1.04
"88","United States","2011",19.4,75.9,1.22
"89","United States","2012",19.2,76.1,1.16
"90","United States","2013",19.3,75.8,1.33
"91","United States","2014",19.3,75.8,1.19
"92","United States","2015",18.5,76.8,1.04
"93","United States","2016",18,77.5,0.944
"94","United States","2017",18.3,77.2,0.95
"95","United States","2018",18.5,76.9,0.921
